Name,Meetings
Acadia: Exploring the National Park Idea,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""17:35:00""},{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Audiocraft: Writing and Producing Longform Narrative Audio,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Beginning Contemporary Dance Technique,"[{""days"": ""MR"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Blue Food Systems,"[{""days"": ""M"", ""start"": ""13:00:00"", ""end"": ""14:25:00""},{""days"": ""R"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Building Science and Energy Auditing,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Building Science and Energy Auditing LAB A,"[{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Building Science and Energy Auditing LAB B,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
College Seminar: The World of Ms. Marvel,"[{""days"": ""M"", ""start"": ""14:35:00"", ""end"": ""16:00:00""},{""days"": ""R"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Constitutional Law: Supreme Court and Civil Liberties,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Designing Your Life,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Drawing Intensive / Developing a Studio Practice,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Ecology:  Natural History,"[{""days"": ""TF"", ""start"": ""07:25:00"", ""end"": ""10:25:00""}]"
Environmental Justice,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
"Equal Rights, Equal Voices: Articulating Suffrage","[{""days"": ""W"", ""start"": ""18:30:00"", ""end"": ""20:00:00""},{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Estuaries,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""17:35:00""},{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Farming the Wild,"[{""days"": ""MR"", ""start"": ""07:25:00"", ""end"": ""10:25:00""},{""days"": ""MR"", ""start"": ""07:25:00"", ""end"": ""10:25:00""}]"
Food and identity in writing: Multimodality in composition,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Frame by Frame: Hand-Drawn Animation,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Fundamentals of Drawing,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Geographic Information Systems I: Foundations & Applications,"[{""days"": ""TWF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Geology of Mt. Desert Island,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
History of Agriculture: Apples,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Homesteading: Theory and Practice,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Human Ecology Core Course Section A,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Human Ecology Core Course Section B,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Human Ecology Core Course Section C,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Human Ecology Core Course Section E,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Human Ecology Core Course Section F,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""},{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Human Ecology Core Course Section G,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""},{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Indigenous America,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
International Wildlife Policy and Protected Areas,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Intersectional Voicing: Modern US Women Novelists,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Intertidal Ecology,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""M"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Intimate Partner Violence: Dynamics and Community Response,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Introduction to Ceramic Sculpture,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Introduction to Computer Science: Data Section A,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Introduction to Computer Science: Data Section B,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Introduction to Cultural Anthropology,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Introduction to Microeconomics,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Introduction to Oceanography,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
