Name,LevelCode,Level,Meetings
Actor Training I,2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Advanced Photography ,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Animals and Arguments,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
"Audio Journalism: Reporting, Producing, Storytelling",3,Intermediate,"[{""days"": ""MWR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Audio Production as Compositional Tool,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Biology: Form and Function,1,Introductory,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Biology: Form and Function Lab A,1,Introductory,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Biology: Form and Function Lab B,1,Introductory,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Buddhist Philosophies ,1,Introductory,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Career Ecology Seminar ,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Chamber Music,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Chemistry II,1,Introductory,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Cinematic Visions from Marginalized Peoples Section A,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""},{""days"": ""T"", ""start"": ""18:30:00"", ""end"": ""21:00:00""}]"
Cinematic Visions from Marginalized Peoples Section B,1,Introductory,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""},{""days"": ""T"", ""start"": ""18:30:00"", ""end"": ""21:00:00""}]"
Climate and Weather,3,Intermediate,"[{""days"": ""R"", ""start"": ""09:00:00"", ""end"": ""12:00:00""},{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Coasts and Shores: A Seminar in the Human Ecology of Place,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
College Seminar: Women in True Crime,1,Introductory,"[{""days"": ""MWR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Culturally Sustaining and Revitalizing Education,3,Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Curatorial Practice: Study Skins ,2,Introductory/Intermediate,"[{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""18:00:00""}]"
Curriculum Design and Assessment,5,Advanced,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Drawing Mineral and Botanical Matter in the Forest of Maine,2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Ecology,3,Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Experimental Marine Science Methods,4,Intermediate/Advanced,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Fundamentals of Painting ,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Gardens and Greenhouses:Theory/Practice of Organic Gardening,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Geographic Information Systems I: Foundations & Applications,2,Introductory/Intermediate,"[{""days"": ""TWF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Growth & Decay: Ecological Sculpture,1,Introductory,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Hydro Politics in a Thirsty World,5,Advanced,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Introduction to Chaos and Fractals,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Introduction to Chaos and Fractals Lab A,1,Introductory,"[{""days"": ""T"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Introduction to Chaos and Fractals Lab B,1,Introductory,"[{""days"": ""T"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Introduction to Computer Science: Image and Sound,1,Introductory,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Introduction to Feminist Therapy: Practices and Principles,1,Introductory,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Introduction to Marine Navigation,1,Introductory,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""W"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Introduction to Political Economy ,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Introduction to Statistics and Research Design,2,Introductory/Intermediate,"[{""days"": ""R"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Introduction to the Counseling Process,5,Advanced,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Island Life,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""07:25:00"", ""end"": ""08:50:00""}]"
Literature of Exile,4,Intermediate/Advanced,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Marine Biology,1,Introductory,"[{""days"": ""M"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Metal Arts,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Moving Image Studio: Short Films ,4,Intermediate/Advanced,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
"Mutual Aid, Past, and Future",4,Intermediate/Advanced,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Object-Oriented Programming: Computer Game Design,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Organic Chemistry II,3,Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""M"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Ornithology,5,Advanced,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""R"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Practicum in Sustainable Energy,3,Intermediate,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Public Speaking Workshop,1,Introductory,"[{""days"": ""M"", ""start"": ""16:10:00"", ""end"": ""20:00:00""}]"
