CourseNumber,Term,FacultyName,CourseName,Level,Description,Bonus Information,CourseDivision
HS1091,S26,"Gagnon, Pam",Introduction to Feminist Therapy,I,"Feminist Therapy is focused on empowerment through self-awareness and self-assertion as shaped by an understanding of the larger social and political constructs that influence our thoughts and behaviors. In practice the application of feminist therapy synthesizes tenets of gender-based psychology, psychosocial theories of lifespan development, multicultural analysis, and applied social change activism with the objective of self evolution in relation to personal, social, political, and cultural exchanges.This course offers an overview of the origins and applications of feminist therapy as a conceptual framework developed in response to androcentric therapies. We will begin by acknowledging the forerunners of feminist therapy such as Karen Horney and Leta Stetter Hollingworth. We will continue studying the contributions of contemporary feminist therapists such as Ellyn Kaschak, Lenore E. Walker, Jean Baker Miller, and Laura Brown, including prominent contributions by women of color in clinical psychology such as the work of Ruth Winifred Howard and Ellen Kitch Childs, and those who are currently pioneering the development of women’s psychology in other countries such as Vindhya Undurti. We will explore the core principles of feminist therapy, and the influences and implications of power and gender biases at play in clinical practice throughout assessment, diagnosis, and treatment. Students will have the opportunity to learn about feminist therapeutic techniques.The objective of the course is to aid students in developing a functional knowledge of feminist therapy and its various clinical applications. Students who have a desire to pursue psychotherapy and social work are encouraged to consider this course as a means of understanding the benefit of feminist therapy in the development of egalitarian therapeutic relationships.The class format includes lectures, roleplays, media presentations, interviews with guest speakers, group work, and discussions. Opportunities will be provided for students to reflect upon experiences, to practice skills, and apply learning through a community project.Students will be evaluated on their critical thinking, analysis, and synthesis of the course goals and objectives as demonstrated by participation in class activities, responsiveness to required and suggested readings as evidenced by successful completion of course assignments and active participation in lecture generated discussion.Level: Introductory. Prerequisites: Introductory Psychology and/or courses in Feminist Theory. Class Limit: 12. Lab Fee: None. Meets the following degree requirements: HS.",,HS
HS5043,S26,"Hill, Ken",Introduction to the Counseling Process,A,"This is intended as a survey course that will overview the contemporary theories, issues, and techniques of professional counseling. In brief, topics to be considered in this course include; a) legal and ethical responsibilities associated with professional counseling); b) assessments of differing therapeutic approaches (theories and techniques) to the counseling process; and c) reflection on the changing perspectives and practices in counseling including pluralism and diversity models. Students will begin to develop their own perspective of counseling through lectures and discussion, demonstrations, guest speakers, case studies, mock counseling sessions, reading, and writing papers. Experiential learning, through mock counseling sessions, with feedback from classmates and the instructor, will be stressed. Evaluation will be based on written assignments, class participation, and independent research.Level: Advanced. Prerequisites: A least one psychology course. Class limit: 12. Lab fee: None. Meets the following resource area requirements: HS.",,HS
ED5019,S26,"Fuller, Linda","Secondary Methods: Life Science, Social Studies and English",A,"This course is designed to prepare those who are intending to meet the learning needs of diverse populations of students in grades 7-12 or late adolescent young adults in other learning environments. It is an objective of the course to communicate that teaching is intellectual work, that it requires a dedication to and a love of subject matter, a respect and caring for students, a concern for equity, and a moral imperative for excellence in teaching. Students spend 70 hours with their target population and curriculum, as well as consulting with content faculty. (Some of these hours may be reserved for fall term.) These learning-teaching experiences are integrated into class discussion where students analyze the elements needed for successful teaching, learning, and assessing in their own content area and across disciplines. The purposes, problems, opportunities, issues, strategies, and materials involved in teaching diverse adolescent and young adult learners will be examined critically, and students will be evaluated through class discussions, individual and group work, reflections on field experiences, and peer and virtual teaching and assessing. Level: Advanced. Prerequisites: Permission of instructor. Class limit: 12. Lab Fee: None. Meets the following degree requirements: ED",,ED
,S26,"Weber, Jill",_ no classes,,The instructor is not teaching any courses this term.,,
ES2012,S26,"Todd, Sean",Intro to Statistics and Research Design,I/M,"This course introduces the basics of statistical analysis that can be used in either a scientific or a social science frame of reference. While this course teaches you to perform both nonparametric and simple parametric analysis both by hand and computer, an emphasis will be placed on understanding the principles and assumptions of each test, rather than mathematical ability per se. We will also learn how to report statistical results in journal format, and there will be plenty of lab time to sharpen skills. Evaluation is based on lab participation, three quizzes, and a team project. Level: Introductory/Intermediate. Prerequisites: A college mathematics course, or signature of the instructor. Class limit: 12. Lab fee: $40. Meets the following degree requirements: QR.",,QR
ES1054,S26,"Todd, Sean",Biology: Form and Function,I,"This is one half of a 20-week, two-term introductory course in biology, providing an overview of the discipline and prerequisite for many intermediate and advanced biology courses. The course will emphasize biological structures at the level of whole organisms and organs and their role in the survival and reproduction of individuals and the evolution of populations . We will explore principles of evolution, classification, anatomy and physiology, epidemiology, behavior, and basic ecology. The primary focus of the course is on vertebrate animals and vascular plants, but we will make forays into other phylogenetic lineages at intervals. Weekly field and laboratory studies introduce students to the local range of habitats and a broad array of protists, plants, and animals. Attendance at two lectures and one lab each week is required; course evaluation is based on class participation, exams, preparation of a lab/field notebook, and a presentation. It should be stressed that this course emphasizes the unity of the organism within its environment. Ideally students will subsequently enroll in Biology:Cells and Molecules in order to further their exploration of issues in a more reductionist form, but neither course is a pre-requisite for the other. Level: Introductory. Prerequisites: None. Binoculars and a good pair of walking boots strongly advised. Class Limit: 25. Lab Fee: $40. Meets the following degree requirements: ES.",,ES
ES2054,S26,"Slabach, Brittany",Curatorial Practice: Study Skins,I/M,"This course provides a deep dive into the practice and art of preparing museum study skins. Study skins are a traditional form of specimen preparation that preserves the skin and feathers of organisms for research purposes. Preparation techniques vary by taxon and research objective. In this course we will read about the history of study skins, how preparation techniques have evolved over time, and the role of study skins in our understanding of our natural world. A foundational component of the course is to learn how to prepare study skins. Therefore, we will establish a practice of preparing study skins weekly. Through this practice students will learn different techniques of preparation, as well as gain a strong foundation in anatomy related to different organisms and learn how to use appropriate anatomical language. The course meeting time is structured to support this weekly practice. While we will discuss preparation techniques for different taxons, iterative practice of techniques will depend on availability of organismal specimens and will be biased towards vertebrates, particularly mammals and aves. Assessments will include a reflection journal documenting each student’s preparatory journey; discussion and activity participation; and the completion of a series of study skins demonstrating improvement in technique over the course of the term. This course builds on concepts discussed in Collecting Nature, and other organismal courses. The course is particularly suitable for students who would like to pursue careers in organismal ecology, taxonomy, or museum studies, and would like study skin preparation to be a part of their skillset. It would also serve students who are interested in gaining an in-depth knowledge of organismal anatomy, or those who are interested in different preparation techniques.Level: Introductory/Intermediate. Prerequisites: ES1092: Collecting Nature: Exploration of Scientific Collection. Class limit: 8. Lab fee: $25. Meets the following degree requirements: ES.",,ES
ES5017,S26,"Slabach, Brittany",Ornithology,A,"Welcome to the wonderfully weird world of Aves! This advanced course is designed to provide students with in-depth knowledge and experience in all aspects of avian biology. We will dive deep into evolution and taxonomic relationships and discuss the historical and cultural impacts birds have had globally. We’ll use museum specimens, dissections, and direct field observation to explore anatomy, physiology, behavior and ecology of birds up close and in-person! Emphasis will be on local and regional groups, but we will discuss global biodiversity. While the class is structured as two lectures and a laboratory component, the course is built around active learning where in-class discussions and activities should be expected. Assessment will be based on participation, weekly quizzes, activity reflections, and a written review paper on a topic of avian biology of your choosing. As an advanced course, this course builds on concepts discussed in Vertebrate Zoology. The course provides students with a strong foundation in all aspects of avian biology, including field techniques to monitor birds. Thus, the course is particularly suitable for students who would like to pursue careers in avian ecology. It would also serve students who are interested in gaining an in-depth knowledge of a particular group of organisms; those who are interested in gaining experience in synthesizing primary literature in a written form; or those who are curious about what being a bird really means. Level: Advanced. Prerequisites: ES3104 Vertebrate Zoology or permission of instructor. Class limit: 11. Lab fee: $50. Meets the following degree requirements: ES.",,ES
HS5015,S26,"Cline, Ken",Hydro Politics in a Thirsty World,A,"This course will look at the complex issues surrounding the development, distribution, use and control of fresh water around the world. Focusing primarily on developing countries, we will examine three aspects of water use and control. First we will look at the scope and impact of water development projects; second we will examine the conflicts and solutions related to transboundary river basins; and third we will consider the implication of privatization of water resources. By way of background, we will review the variety of demands placed on fresh water and the political institutions related to water development. Students will gain a solid background in international environmental law as it relates to multilateral and bilateral treaties, customary law, multilateral institutions, and the guidance of international ""soft law"". They will also understand the allocation and equity issues surrounding the privatization of water and the political dimensions of this shift. Ultimately, these issues will give a concrete understanding of some aspects of the concept of sustainable development. Evaluation will be based on class participation, short analytical papers, and a substantial term-long assignment.",,HS
ES1014,S26,"Morse, Suzanne",Gardens and Greenhouses,I,"This class offers a good foundation of knowledge for a gardener to begin the process of organic gardening, as well as an understanding of what defines organic gardening. The information presented focuses on soil fertility and stewardship, the ecology of garden plants, soil and insects, and practical management of the above. The garden is presented as a system of dynamic interactions. Emphasis is given to vegetable crops and soil fertility. Laboratories include soil analysis, tree pruning, seedling establishment, weed and insect identification, garden design, covercropping, composting, and reclamation of comfrey infested area. Evaluations are based on participation in class and lab, written class work, exam, and final individual garden design.Level: Introductory. Pre-requisite: Permission of the Instructor. Class limit: 15. Lab fee: $25. Meets the following degree requirements: ES",,ES
