FacultyName,CourseName,CourseDivision,Level,Description,Bonus Information
"Coiner, Tom",Actor Training I,ADS,Introductory/Intermediate,"This course is geared toward students with or without performance experience. Together we will establish a common language to define the most important tools for an actor. Through a series of games and exercises, students develop new skills and practice making bolder, clearer choices within improvised, devised or established scenes. The goals are to create confidence in any sort of performance situation and to find ways of applying acting skills to other academic and outside experiences. Evaluation is based on participation in class activities and discussion, successful completion of all performance projects, including productive rehearsal time and an organized portfolio of written responses. There will be at least one field trip. Default grading option for this course is CR/NC.",
"Kim, June",Advanced Photography,ADS,Intermediate/Advanced,"This course is designed to provide students opportunities to build on their technical and conceptual skills of photography created in accordance with the creative vision of the photographer. There will be a focus on photographic image-making within a fine art context in conjunction with development of heightened awareness and concepts in relation to personal perspective. Each class will include discussion of reading assignments, in-class shooting assignments, looking at contemporary artists and their photographic practices. Art concepts, ideas, and critiques of ongoing student work will occur weekly. In addition, there will be an individual meeting with the instructor at midterm aimed to solidify each student’s work. Students will be evaluated based on the completion of a series of assignments, the development of a self-chosen body of work, participation in class discussions/critiques and class attendance.Level: Intermediate/Advanced Prerequisites: Introduction to Photography or some photography experience/knowledge. Class limit: 12. Lab fee: $110. Meets the following degree requirements: ADS. ",
"Tsygankova, Valeria ",Animals and Arguments,W HS,Introductory,"In 1903, American naturalist John Burroughs triggered a fierce public debate when he accused some of his peers of writing “sham natural history.” These other naturalists, Burroughs claimed, had given in to the major temptation lying in wait for all nature writers: “the danger of making too much of what we see and describe—of putting in too much sentiment, too much literature—in short, of valuing these things more for the literary effects we can get out of them than for themselves.” The ensuing debate over the responsible depiction of nonhuman nature went on for five years in the pages of popular magazines, drawing in dozens of writers and one U.S. president. More than a century later, we remember it as the “nature faker” controversy. But though this episode has taken its place in the history books, its unresolved tensions and questions live on, occupying nature writers and filmmakers to this day: How can writers tell stories that spark human interest in the natural world while doing justice to that world’s alterity? What does it mean to value nonhuman animals “for themselves” and not for the reasons we might project onto them? Are emotion and imagination incompatible with good nature writing? In this writing class, students will not only get to know this longstanding conversation; they will also be asked to weigh in. Students will study the strategies that help experienced writers make their own marks on existing debates: strategies for posing rich problems, analyzing texts, representing and responding to other voices, giving and using feedback, and otherwise developing a sustainable writing practice. Students will become better navigators of writing for various contexts and audiences by studying and practicing the ways in which public and scholarly writers convey their ideas to readers. Students will be evaluated on a rhetorical analysis of a single text; an analytical essay that incorporates multiple sources and makes an original argument; a reflection that analyzes their own approach to writing; participation in in-class work; and the completion of short, low-stakes assignments preparing them for class. This course will be helpful for new college students looking to establish a base of knowledge about analytical writing, as well as for students at any point in their college careers who want to dedicate some time to working on their writing.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: W, HS.",
"Breslow, Peter","Audio Journalism: Reporting, Producing, Storytelling",HS,Intermediate,"This will be a ""soup to nuts"" course in audio journalism geared towards the beginner. In this class we will detail: how to record and edit audio; interviewing techniques; writing for broadcast; how to voice a script—all leading to the creation of an NPR style piece. This is very much a journalism class. Through a series of ever more challenging assignments – both individual and with a partner; in class and out – students will not only acquire the expertise to produce a compelling radio piece, but come to understand the ethics of audio journalism. The format for the course will be a hands-on workshop with a heavy workload of reporting assignments that we will critique together in review sessions. A significant amount of a student's time outside of class will be dedicated to reporting stories, editing audio and writing scripts followed by individual edit sessions with the instructor. We will also be hearing from a number of noted journalists who will Zoom into the class on a broad range of topics. Students will be evaluated on their timely completion of assignments, overall improvement, their constructive engagement with group critique sessions and Zoom guest speakers, and their follow-up on edit suggestions from the instructor. This class is open to all students interested in journalism and audio production. There are no prerequisites, though prior experience in journalism, narrative writing or audio recording and production is helpful. Level: Intermediate. Prerequisites: None. Class limit: 10. Lab fee: None. Meets the following degree requirements: HS.",
"Soares, Zachary",Audio Production as Compositional Tool,ADS,Introductory,"In 1979, the music producer Brian Eno argued that the recording studio is a “compositional tool,” upending the idea that the recording studio exists to document pre-existing musical compositions. His assertion came on the back of pivotal albums such as The Beatles’ “Revolver” and The Beach Boys’ “Pet Sounds” (1966), which demonstrated the creative possibilities of composing in the studio. We might call this type of approach to music composition “playing the studio.” In this course, students learn how music production makes use of editing, mixing, and effect processing to maximize its impact. Through readings, film screenings, and audio listening sessions, students learn about past and present studio techniques and use these techniques during audio projects and exercises. Students learn to use virtual instruments, effect processors, microphones, and COA’s recording studio to strengthen their technical audio recording, editing, and mixing skills. Students will be evaluated based on their participation in class discussions, their fluency in the use of recording equipment and software, the process they use to approach each assignment, and the completion of assigned projects. No prerequisites or sound/music experience is required.Level: Introductory. Prerequisites: None. Class limit: 10. Lab fee: None. Meets the following degree requirements: ADS.",
"Todd, Sean",Biology: Form and Function,ES,Introductory,"This is one half of a 20-week, two-term introductory course in biology, providing an overview of the discipline and prerequisite for many intermediate and advanced biology courses. The course will emphasize biological structures at the level of whole organisms and organs and their role in the survival and reproduction of individuals and the evolution of populations . We will explore principles of evolution, classification, anatomy and physiology, epidemiology, behavior, and basic ecology. The primary focus of the course is on vertebrate animals and vascular plants, but we will make forays into other phylogenetic lineages at intervals. Weekly field and laboratory studies introduce students to the local range of habitats and a broad array of protists, plants, and animals. Attendance at two lectures and one lab each week is required; course evaluation is based on class participation, exams, preparation of a lab/field notebook, and a presentation. It should be stressed that this course emphasizes the unity of the organism within its environment. Ideally students will subsequently enroll in Biology:Cells and Molecules in order to further their exploration of issues in a more reductionist form, but neither course is a pre-requisite for the other. Level: Introductory. Prerequisites: None. Binoculars and a good pair of walking boots strongly advised. Class Limit: 25. Lab Fee: $40. Meets the following degree requirements: ES.",
"Lakey, Heather",Buddhist Philosophies,HS,Introductory,"What is the nature of self? What is the nature of mind? Why do we suffer? What is enlightenment? This course introduces students to the foundations of Buddhist philosophy and practice. Buddhism encompasses a variety of different traditions, teachings, practices, and goals. In this class, we will adopt a philosophical perspective to explore a range of Buddhist thinking on topics such as reality, consciousness, nothingness, and ethical conduct. We will begin by reading Asvagho?a's Buddhacarita, which tells the story of Siddhartha Gautama, the historical Buddha. Next, we will study the Theravada, Buddhism's foundational structure, and then proceed to explore the later Mahayana teachings. This course will study primary literature, including excerpts from the Pali Canon and several Mahayana sutras, alongside selections from contemporary thinkers such as Thích Nhat Hanh, angel Kyodo williams, and Pema Chödrön. Along the way, we will discuss suffering (dukkha), emptiness (suññata), impermanence (anicca), non-self (anatta), interdependence or dependent uprising (pa?iccasamuppada), desire (tanha), the four noble truths, the eightfold path, liberation and enlightenment (nibbana), action and causation (kamma), wisdom (pañña), compassion (karuna and bodhicitta), and our responsibilities to other beings. Although this course primarily focuses on Buddhist theory and Buddhist texts, students will be briefly introduced to different meditation and mindfulness practices through a series of guest speakers and a weekend visit to the Morgan Bay Zendo in Surry, Maine. This course will be conducted in seminar style with an emphasis on class participation. No prior background in Buddhism or philosophy is required. Course requirements include class participation, weekly writing assignments, a midterm essay, and a final project.Level: Introductory. Prerequisites: None. Class limit: 12. Lab fee: None. Meets the following degree requirements: HS.",
"Neuhouser, Jeffry",Career Ecology Seminar,,Introductory,"In this course, students will develop a deep understanding of how their personal and professional identities intersect, how to apply and communicate their skills and interests through career experiences, and how to navigate a fulfilling and purposeful life. Students will first and foremost learn to look at their career development through the lens of career ecology, which is applying human ecology as a lens to examine one’s career experiences and professional identity within natural, social, and economic systems. The goal of seeing career development through a career ecology lens is to construct strong identity foundations and continue on a path to professional authenticity, finding one’s sense of purpose, and career fulfillment. This course is designed to meet all students where they are in their COA journey: from first-year exploration through seniors preparing for graduation. This class is useful before you complete your internship requirement, but can also help you prepare for post-graduation success. Students will learn how their career ecosystems and professional identities are deeply influenced by one's familial, cultural, regional, religious, historical, and spiritual experiences, as well as by personal beliefs, views, strengths, and abilities. We will further investigate ways in which one participates in ecosystems through paid work, volunteering, government service, research, writing, community service, leadership, and how to find mentorship and support. Students will learn through written reflections, participating in course discussions on readings and with course visitors, completing career assessments like the Clifton Strengths to understand personal strengths and values, completing professional writing assignments like resumes and cover letters, participating in hands-on networking and interviewing practice, and reading and incorporating design thinking strategies from the text Designing Your Life (Burnett & Evans, 2016). Evaluation and assessment will be based on active participation in course discussions (discussions on readings and with course visitors), completing professional writing assignments (e.g., resumes and cover letters), reflection essays, and oral presentations. Level: Introductory. Prerequisites: None. Class limit: 20. Lab fee: $25. Meets the following degree requirements: None.",
"Hsu, Richard",Chamber Music,ADS,Intermediate/Advanced,"What do Haydn, Mozart, Beethoven, and Brahms have in common? They are all considered great masters of classical music, having written several works for large symphony orchestras. But they also wrote music for smaller ensembles called chamber music. What is chamber music and how has it developed through the centuries? How is it relevant today? The bulk of this course is a lab/ensemble opportunity to perform in small chamber groups, based on experience and following a musical score. To deepen our understanding of the music we play, it's helpful to understand the political, social and cultural trends that influenced and shaped chamber music across the Baroque, Classical, Romantic and Modern eras. There will be mini lessons about the composers and their places in history, along with listening guides, but the majority of class time will be spent in rehearsals coached by the instructors. Music will be chosen by the instructors based on demonstrated abilities, with input from participating students. Other aspects of the class include a trip to a live performance, some research, listening assignments, and a written essay. Evaluations are based on musical collaboration/participation, practice/preparation outside of class time and assignments.Level: Introductory. Prerequisites: Experience playing an instrument or singing in an ensemble (example: high school band or choir) and/or an ability to read music at a proficient level. Class limit: 16. Lab fee: None. Meets the following degree requirements: ADS.",
"Spurling, Christina",Chamber Music,ADS,Intermediate/Advanced,"What do Haydn, Mozart, Beethoven, and Brahms have in common? They are all considered great masters of classical music, having written several works for large symphony orchestras. But they also wrote music for smaller ensembles called chamber music. What is chamber music and how has it developed through the centuries? How is it relevant today? The bulk of this course is a lab/ensemble opportunity to perform in small chamber groups, based on experience and following a musical score. To deepen our understanding of the music we play, it's helpful to understand the political, social and cultural trends that influenced and shaped chamber music across the Baroque, Classical, Romantic and Modern eras. There will be mini lessons about the composers and their places in history, along with listening guides, but the majority of class time will be spent in rehearsals coached by the instructors. Music will be chosen by the instructors based on demonstrated abilities, with input from participating students. Other aspects of the class include a trip to a live performance, some research, listening assignments, and a written essay. Evaluations are based on musical collaboration/participation, practice/preparation outside of class time and assignments.Level: Introductory. Prerequisites: Experience playing an instrument or singing in an ensemble (example: high school band or choir) and/or an ability to read music at a proficient level. Class limit: 16. Lab fee: None. Meets the following degree requirements: ADS.",
