#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13230, 3,    -0.62, 3,   boost,    6.18, 100776.00,   45.80,   -0.25,   14.58,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.61, 3,   boost,    6.48, 100771.00,   46.22,    0.17,   14.72,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.60, 3,   boost,    6.80, 100771.00,   46.22,    0.17,   14.86,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.59, 3,   boost,    7.12, 100772.00,   46.13,    0.08,   15.00,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.58, 3,   boost,    7.45, 100776.00,   45.80,   -0.25,   15.14,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.57, 3,   boost,    7.78, 100770.00,   46.30,    0.25,   15.28,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.56, 3,   boost,    8.13, 100771.00,   46.22,    0.17,   15.42,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.55, 3,   boost,    8.47, 100771.00,   46.22,    0.17,   15.56,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.54, 3,   boost,    8.82, 100773.00,   46.05,    0.00,   15.71,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.53, 3,   boost,    9.18, 100775.00,   45.88,   -0.17,   15.85,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.52, 3,   boost,    9.53, 100770.00,   46.30,    0.25,   15.99,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.51, 3,   boost,    9.88, 100772.00,   46.13,    0.08,   16.14,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.50, 3,   boost,   10.23, 100769.00,   46.39,    0.33,   16.28,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.49, 3,   boost,   10.58, 100771.00,   46.22,    0.17,   16.43,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.48, 3,   boost,   10.92, 100773.00,   46.05,    0.00,   16.57,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.47, 3,   boost,   11.25, 100767.00,   46.55,    0.50,   16.72,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.46, 3,   boost,   11.57, 100770.00,   46.30,    0.25,   16.87,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.45, 3,   boost,   11.87, 100768.00,   46.47,    0.42,   17.01,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.44, 3,   boost,   12.17, 100764.00,   46.80,    0.75,   17.16,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.43, 3,   boost,   12.44, 100764.00,   46.80,    0.75,   17.31,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.42, 3,   boost,   12.70, 100755.00,   47.56,    1.51,   17.45,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.41, 3,   boost,   12.94, 100750.00,   47.97,    1.92,   17.60,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.40, 3,   boost,   13.15, 100733.00,   49.40,    3.34,   17.75,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.39, 3,   boost,   13.35, 100722.00,   50.32,    4.27,   17.89,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.38, 3,   boost,   13.52, 100734.00,   49.31,    3.26,   18.04,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.37, 3,   boost,   13.66, 100725.00,   50.07,    4.01,   18.19,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.36, 3,   boost,   13.78, 100727.00,   49.90,    3.85,   18.34,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.35, 3,   boost,   13.88, 100698.00,   52.32,    6.27,   18.48,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.34, 3,   boost,   13.95, 100698.00,   52.32,    6.27,   18.63,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.33, 3,   boost,   14.00, 100685.00,   53.41,    7.36,   18.78,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.32, 3,   boost,   14.03, 100671.00,   54.58,    8.53,   18.92,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.31, 3,   boost,   14.03, 100670.00,   54.67,    8.62,   19.07,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.30, 3,   boost,   14.02, 100654.00,   56.01,    9.95,   19.21,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.29, 3,   boost,   13.98, 100643.00,   56.93,   10.88,   19.36,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.28, 3,   boost,   13.93, 100644.00,   56.84,   10.79,   19.50,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.27, 3,   boost,   13.87, 100622.00,   58.68,   12.63,   19.65,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.26, 3,   boost,   13.78, 100610.00,   59.69,   13.64,   19.79,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.25, 3,   boost,   13.69, 100597.00,   60.78,   14.73,   19.93,  8.4, 0.00, 0.01, 9.33
6, 13230, 3,    -0.24, 3,   boost,   13.59, 100566.00,   63.37,   17.32,   20.08,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.23, 3,   boost,   13.47, 100537.00,   65.80,   19.75,   20.22,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.22, 3,   boost,   13.35, 100511.00,   67.98,   21.93,   20.36,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.21, 3,   boost,   13.23, 100462.00,   72.09,   26.04,   20.50,  8.4, 0.00, 0.01, 9.34
6, 13230, 3,    -0.20, 3,   boost,   13.10, 100458.00,   72.42,   26.37,   20.64,  8.4, 0.00, 0.01, 9.33
6, 13230, 3,    -0.19, 3,   boost,   12.97, 100429.00,   74.85,   28.80,   20.78,  8.4, 0.00, 0.01, 9.34
%6, 13230, 3,    -0.18, 3,   boost,   12.84, 100403.00,   77.03,   30.98,   20.91,  8.4, 0.00, 0.01, 9.33
%6, 13230, 3,    -0.17, 3,   boost,   12.70, 100377.00,   79.21,   33.16,   21.05,  8.4, 0.00, 0.01, 9.34
%6, 13230, 3,    -0.16, 3,   boost,   12.57, 100348.00,   81.65,   35.60,   21.18,  8.4, 0.00, 0.01, 9.33
%6, 13230, 3,    -0.15, 3,   boost,   12.43, 100362.00,   80.47,   34.42,   21.32,  8.4, 0.00, 0.01, 9.34
%6, 13230, 3,    -0.14, 3,   boost,   12.29, 100389.00,   78.21,   32.16,   21.45,  8.4, 0.00, 0.01, 9.34
