#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 13517, 5,    -0.62, 3,   boost,   -0.02, 100182.00,   95.58,    8.15,    2.36, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.61, 3,   boost,   -0.03, 100179.00,   95.84,    8.40,    2.36, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.60, 3,   boost,   -0.03, 100178.00,   95.92,    8.48,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.59, 3,   boost,   -0.04, 100178.00,   95.92,    8.48,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.58, 3,   boost,   -0.04, 100178.00,   95.92,    8.48,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.57, 3,   boost,   -0.05, 100184.00,   95.42,    7.98,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.56, 3,   boost,   -0.05, 100176.00,   96.09,    8.65,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.55, 3,   boost,   -0.06, 100180.00,   95.75,    8.31,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.54, 3,   boost,   -0.06, 100178.00,   95.92,    8.48,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.53, 3,   boost,   -0.07, 100178.00,   95.92,    8.48,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.52, 3,   boost,   -0.08, 100175.00,   96.17,    8.73,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.51, 3,   boost,   -0.09, 100171.00,   96.51,    9.07,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.50, 3,   boost,   -0.09, 100163.00,   97.18,    9.74,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.49, 3,   boost,   -0.10, 100163.00,   97.18,    9.74,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.48, 3,   boost,   -0.11, 100151.00,   98.19,   10.75,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.47, 3,   boost,   -0.12, 100149.00,   98.36,   10.92,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.46, 3,   boost,   -0.13, 100144.00,   98.78,   11.34,    2.38, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.45, 3,   boost,   -0.14, 100139.00,   99.20,   11.76,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.44, 3,   boost,   -0.15, 100135.00,   99.53,   12.10,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.43, 3,   boost,   -0.16, 100134.00,   99.62,   12.18,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.42, 3,   boost,   -0.17, 100129.00,  100.04,   12.60,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.41, 3,   boost,   -0.18, 100139.00,   99.20,   11.76,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.40, 3,   boost,   -0.19, 100142.00,   98.94,   11.51,    2.37, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.39, 3,   boost,   -0.20, 100141.00,   99.03,   11.59,    2.36, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.38, 3,   boost,   -0.21, 100138.00,   99.28,   11.84,    2.36, 69.7, 0.01, 8.15, 8.15
6, 13517, 5,    -0.37, 3,   boost,   -0.22, 100141.00,   99.03,   11.59,    2.36, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.36, 3,   boost,   -0.23, 100137.00,   99.36,   11.93,    2.36, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.35, 3,   boost,   -0.24, 100137.00,   99.36,   11.93,    2.35, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.34, 3,   boost,   -0.25, 100135.00,   99.53,   12.10,    2.35, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.33, 3,   boost,   -0.27, 100126.00,  100.29,   12.85,    2.35, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.32, 3,   boost,   -0.28, 100117.00,  101.05,   13.61,    2.35, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.31, 3,   boost,   -0.29, 100104.00,  102.14,   14.70,    2.34, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.30, 3,   boost,   -0.30, 100097.00,  102.73,   15.29,    2.34, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.29, 3,   boost,   -0.31, 100092.00,  103.15,   15.71,    2.33, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.28, 3,   boost,   -0.31, 100086.00,  103.65,   16.21,    2.33, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.27, 3,   boost,   -0.32, 100081.00,  104.07,   16.63,    2.33, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.26, 3,   boost,   -0.33, 100090.00,  103.32,   15.88,    2.32, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.25, 3,   boost,   -0.34, 100084.00,  103.82,   16.38,    2.32, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.24, 3,   boost,   -0.35, 100077.00,  104.41,   16.97,    2.31, 69.7, 0.01, 8.14, 8.15
6, 13517, 5,    -0.23, 3,   boost,   -0.35, 100074.00,  104.66,   17.22,    2.31, 69.7, 0.01, 8.14, 8.15
