Semester,Instructor,Department,CourseNumber,CourseType,CourseName,CourseDivision,ActiveFlag,LabFee,Credits,CourseDescription
FA-23,"Altair Ferreira, Thiago",ES,1018,I,Physics I:  Mechanics and Energy,ES QR,TRUE,40,1,"This course is the first of a two course sequence covering a range of standard introductory physics topics. The goals of the course are: to introduce students to important physical ideas both conceptually and mathematically; and to help students improve their quantitative skills. The first part of the course consists of a broad look at the three conservation laws: the conservation of momentum, energy, and angular momentum.  Along the way, we'll learn about vectors, work, potential energy, thermal energy, and the energy stored in chemical bonds. We'll conclude with a treatment of Newton's laws of motion.  If time permits, we may briefly cover some topics from chaotic dynamics.  Evaluations will be based on participation in class and lab, weekly homework, and two untimed, open-notes exams. This course makes extensive use of algebra and trigonometry. Potentially difficult math topics will be reviewed as necessary. Prerequisites: Understanding Functions, a strong high school algebra background, or consent of the instructor.

Level:  Introductory. Class limit: 20.  Lab fee: $40.  Meets the following degree requirements: ES QR"
FA-23,"Anderson, John",MD,1022,I,Working the Sea,,TRUE,100,1,"For much of the past 5000 years the sea has played a major role in a broad variety of human cultures, histories, arts, and economies.  Sea-faring peoples have developed a rich lore and technology that allows them to both survive and even thrive in an often hostile element. This course will mix practical, hands-on learning of aspects of seamanship with a survey of fiction and non-fiction that address maritime themes.  During the early part of the term we will concentrate on aspects of small-boat handling, using the College’s inflatables, rowing boats, and the larger research vessels, Osprey and Laughing Gull.  Students will learn how to launch and land small-craft from docks and beaches, basic rowing skills and use of an outboard motor. They will learn essential knots useful aboard ship and on the dock, how to lay out a course using a chart and compass, use of GPS and depth sounders, basic Rules of the Road, and elements of celestial navigation.  During some lab periods we will go on short voyages in the general area of Frenchman Bay. As the term proceeds and weather worsens, we will turn to an increasingly greater literary component, reading accounts of famous voyages and local fishermen, discoveries, battles, legends and poetry.  Possible texts include, but are not limited to: Working the Sea by Wendell Seavey, Master and Commander by Patrick O’ Brian, Maiden Voyage by Tania Aebi, The Perfect Storm by Sebastian Junger, In the Heart of The Sea by Nathaniel Philbrick, Longitude by Dava Sobel, Slave Ship: A Human History by Marcus Rediker, Kon Tiki by Thor Heyerdahl, We Didn’t Mean to Go To Sea by Arthur Ransome as well as excerpts from The Greenlanders’ Saga, Moby Dick, The Old Man and the Sea, The Voyage of the Beagle, and Two Years Before the Mast. Students will be evaluated on the basis of class participation, a number of short “quizzes” – which will include practical elements - and a term paper focusing on one aspect of working the sea. 

Level: Introductory.  Prerequisites: Permission of Instructor.  Class limit: 10.  Lab Fee $100. Meets the following degree requirements: None."
FA-23,"Anderson, John",ES,3014,M,Ecology,ES,TRUE,75,1,"This course examines ecology in the classic sense: the study of the causes and consequences of the distribution and abundance of organisms. We examine the assumptions and predictions of general models of predator-prey interactions, inter- and intra-species competition, island biogeography, and resource use, and compare these models to the results of experimental tests in lab and field. In addition we discuss appropriate techniques used by ecologists in collecting data in the field, note-taking and the appropriate collation and storage of field data. Although this course is NOT a course in Conservation Biology, we examine how ecological principles are applied to conservation questions.  Readings include selections from the primary literature. Students are evaluated on the basis of class participation and two in depth problem sets,drawing extensively on the primary literature.

Level: Intermediate.  Prerequisites:  Biology: Form and Function.  Class limit: 12.  Lab fee $75.  Meets the following degree requirements: ES"
FA-23,"Andrews, Nancy",AD,1019,I,Four-Dimensional Studio,ADS,TRUE,30,1,"This class gives students an opportunity to investigate time-based art.  4-D art draws on the vast and varied traditions of theatre, dance, media, and music, often crossing boundaries to create hybrid works.  This course will focus on concepts and processes related to representing and experiencing events that take place in time.  Strategies for planning, proposing, and producing work individually or collaboratively will be discussed and practiced.  Some class periods will be workshop in style, and include physical and vocal exercises and improvisations.  The course will include basic instruction and use of video cameras and sound recording devices.  A majority of the learning in this studio course will happen as students make projects and reflect on their work and the work of others.  Documentation and information about contemporary and historic time-based art will be presented.  Students will be evaluated based on imaginative exploration of ideas and materials, extent and depth of work processes and research, completion of assigned projects, and participation in class discussions. 

Level: Introductory.  Lab Fee $30.00. Class limit: 12. Meets the following degree requirements: ADS"
FA-23,"Andrews, Nancy",AD,3014,M,Soundscape,ADS,TRUE,60,1,"Soundscape may be defined as an environment of sound (or sonic environment) with emphasis on the way it is perceived and understood by the individual, or by a society. It thus depends upon the relationship between the individual and any such environment. The term may refer to actual environments, or to abstract constructions such as musical compositions and tape montages, particularly when considered as an artificial environment. In this interdisciplinary course we investigate a broad range of acoustic concepts, ranging from a scientific treatment of the nature and behavior of sound both in air and underwater, the biology of hearing, the use of sound by animals in communication, and the cultural applications of sound and music in human society. Students will explore methods of composition using sounds as materials for assigned projects. Various approaches to understanding and experiencing sound will be examined, including spoken word, radio shows, music, and experimental forms. Labs will focus on understanding the nature of sound, and practical application of sound equipment, technique and theory. Students will learn about microphones, sound recording, amplification, and the physics of sound. The course will culminate in a performance to the community of student presentations that expresses the wide use of sound as part of our culture. Evaluation will be based on class participation and a set of assignments, including a final project. Emphasis will be placed on an artistic interpretation of soundscape, although students will be expected to have a basic understanding of the scientific basis of acoustic phenomena.

Level:  Intermediate.  Prerequisites: One AD and one ES course. Class Limit: 12.  Lab fee $60.  Meets the following degree requirements: ADS"
FA-23,"Baker, Jodi",AD,1060,I,Movement Training Basics,ADS,TRUE,50,1,"This course is an introduction to a wide variety of physical skills useful for anyone interested in investigating their own potential for physical research and self-expression. Techniques are derived from movement training methodologies developed for actors as well as other practices including (but not limited to) classical ballet, martial arts, circus skills, sports training, acrobatics, and improvisation. Students gain a greater sense of physical awareness and imaginative possibility, building strength, mental and physical agility, stamina and flexibility while grappling with questions regarding personal and collective responsibility, personal and collective consent and the power/politics of a specific body in a given space or circumstance. The class works to challenge preconceptions about body image and body language while working creatively and collaboratively to clarify abstract concepts through physical action. Evaluation is based on class participation (including labs/screenings and small group rehearsals), engagement with the course blog (including all introduced topics and concepts), and successful completion and presentation of a short sequence of assigned projects. Students with any or no movement experience are welcome. 

Level: Introductory. Prerequisites: None.  Class limit: 11. Lab fee: $50. Default grading option: Credit/No Credit. Meets the following degree requirements: ADS."
FA-23,"Baker, Jodi",AD,1060,I,Movement Training Basics,ADS,TRUE,50,1,"This course is an introduction to a wide variety of physical skills useful for anyone interested in investigating their own potential for physical research and self-expression. Techniques are derived from movement training methodologies developed for actors as well as other practices including (but not limited to) classical ballet, martial arts, circus skills, sports training, acrobatics, and improvisation. Students gain a greater sense of physical awareness and imaginative possibility, building strength, mental and physical agility, stamina and flexibility while grappling with questions regarding personal and collective responsibility, personal and collective consent and the power/politics of a specific body in a given space or circumstance. The class works to challenge preconceptions about body image and body language while working creatively and collaboratively to clarify abstract concepts through physical action. Evaluation is based on class participation (including labs/screenings and small group rehearsals), engagement with the course blog (including all introduced topics and concepts), and successful completion and presentation of a short sequence of assigned projects. Students with any or no movement experience are welcome. 

Level: Introductory. Prerequisites: None.  Class limit: 11. Lab fee: $50. Default grading option: Credit/No Credit. Meets the following degree requirements: ADS."
FA-23,"Baker, Laurie",ES,1085,I,Data Science I: Visualization,QR,TRUE,0,1,"How can one summarize information and data and convey its meaning to others? What is an effective data visualization? What is an ineffective or dishonest one? And, for that matter, what is data? This course will explore these questions by introducing students to the broad field of information visualization. Students will learn about different types of visualizations that may be used to explore variation and covariation, the evolution of processes through time and space, and representing parts of a whole. Much of the work of this course will be carried out using computers and the R programming language, but we will also explore non-computational approaches to visualization. Students will develop skills in data collection, data cleaning, and creating different types of data visualizations (e.g. bar charts, scatter plots, density plots, heat maps, violin plots, time series, and interactive graphics) and effective data communication while working on problems and case studies inspired by and based on real-world questions. We will also critique and reflect upon data visualizations in our daily lives. Students will also gain familiarity with descriptive statistics and ways to organize and summarize categorical and numerical data to pick out key information.  

This course is designed to serve as an introduction to programming in R. Students will learn to gain insight from data, to use literate programming and version control so that these insights are reproducible by others, and to develop code collaboratively. Students who successfully complete this course will be able to work with large data sets, transform those data, and implement effective visualizations. Throughout the course we will be using GitHub, ggplot2, Rmarkdown, gganimate, RShiny and the tidyverse packages for data manipulation. This course is intended to appeal to a wide range of students. The skills and habits of mind taught in this course are applicable not only in the sciences and social sciences, but in almost all fields. Evaluation will be based on several short homework and lab assignments, participation in in-class activities, and a final project.

Level: Introductory. Prerequisites: None. Class limit: 16.  Lab fee: none. Meets the following degree requirements: QR"
FA-23,"Blotnick, Ryan",AD,3085,M,Jazz Ensemble,,TRUE,30,1,"In this intermediate-level course we will form a medium-sized ensemble to rehearse and perform jazz music. Some prior experience with improvisation is required, as well as an ability to read music or to learn quickly by ear. Rehearsals will focus on playing with good time, intonation, feel, blend, while respecting various stylistic and historical elements of jazz. Emphasis will be placed on improvisation, which will be taught from the ground up with a focus on ear-training and harmony. There will be a concert performance toward the end of the term and there is the potential for additional off-campus performances and jam sessions. Students will be evaluated based on attendance, commitment to learning the material, successful completion of assigned work, and the expansion of improvisational ability. Participants of diverse abilities, needs, and backgrounds are encouraged to apply, including those who play non-traditional jazz instruments. This course is scheduled from 11:10-2:25 with a break for lunch. The second studio block will at times be used for small group work and other assignments as needed. 

Level: Intermediate. Prerequisites: Some improvisation experience; Ability to read music or learn music quickly by ear. Class limit: 8. Lab fee: $30. Meets the following degree requirements: None."
FA-23,"Braddock, Scott",ES,1038,I,Geology of Mt. Desert Island,ES,TRUE,50,1,"This course is designed to introduce students to geological concepts, tools of the trade, and to the geological history of Mount Desert Island. Throughout the course, students will learn skillsets (topographic and geologic map reading, orienteering, field observation, note taking, field measurements) and geologic principles (rock types, stratigraphy, plate tectonics, earth systems, geologic time, surface processes) both in the classroom and in the field. We will conduct multiple short field excursions on MDI and one extended weekend field trip to explore the regional geology. Students will submit a term project complete with their own field data, maps, photos, and analysis of the local and regional geology. Students will be evaluated on the term project, short quizzes, additional written assignments and lab reports. Offered every fall. 

Level: Introductory. Prerequisites: none. Class limit: 14.  Lab Fee: $50.  Meets the following degree requirements: ES"
