,tweet,Primary Emotion
0,.@toner_mark Hypocrisy w/ #russia stance #standingrock UNARMED #waterprotectors facing FELONIES for peaceful protest #noDAPL #justice4Bravo1,fear
1,'#IndigenousWomens #Divestment Delegation 2 Norway: Experiences from #StandingRock' speaking truth 2 power #NoDAPL #WaterIsLife  #DefundDAPL https://t.co/IaPVkcx8Qc,fear
2,@toner_mark Hypocrisy w/ #russia stance #standingrock UNARMED #waterprotectors facing FELONIES for peaceful protest #noDAPL #justice4Bravo1,fear
3,"New Film Out with International Indigenous Youth Council
Nice summary of facts &amp; footage explaining the #NoDAPL movement over the last year. https://t.co/DmZGNfXbbK",joy
4,Only fools would support this: #ClimateChangeIsReal #NoDAPL #WaterIsLife #renewableenergy https://t.co/kHRIS4SpWF,fear
5,Chase Iron Eyes speaks on the DAPL. #NoDAPL https://t.co/xhiw6R2vMD,fear
6,Keystone XL: The Art of NGO Discourse - Part II https://t.co/gyx0XxkRAy #NoDAPL,fear
7,"Earth2Trump Roadshow of Resistance - Northeast Tour, April 5-8, 19, 20, and 22
#Indivisible
#PeoplePower
#UniteBlue
#TheResistance
#NoDAPL https://t.co/moCVO4g2Li",fear
8,RT Tribe Won Battle To Pressure LADWP To Fix Broken Water Pipeline https://t.co/56xr2c9KCV #Indigenousrising cc/ #flintwatercrisis #nodapl,fear
9,Over 800 gallons of oil spills into Mississippi River https://t.co/rIvFJjq42S via @WIAT42 Do NOT pull money from the #CoastGuard!  #NoDAPL,fear
10,#DivestDAPL #NoDAPL #DivestItaly italianclimatenetwork… https://t.co/7Dso0cRqkJ,sadness
11,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/B5eaouyN2l https://t.co/IHDgqJEfzs,fear
12,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/UZmKLtJuQR https://t.co/cpQsk7yuSF,fear
13,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/GTlzu2H48v https://t.co/HBT1Raq2qv,fear
14,Defend the Sacred Standing Rock #NoDAPL T-shirt Please support #StandingRock https://t.co/LG0atQmY71 https://t.co/zY5eynKcbF,fear
15,"Last month a #Florida man was shot &amp; killed by law enforcement after attacking a #pipeline &amp; evading arrest:
https://t.co/Qa0elHNeSX
#NoDAPL https://t.co/pfXU9cCF9u",fear
16,The Scariest Pipelines in the U.S. Threatening Our Public Lands  https://t.co/99CeXaWDES #nokxl #nodapl #nottpl #stopsabaltrail,fear
17,CALL!  BECAUSE #Trumprussia #climatechange #IStandWithPP #NoDAPL #solarpower #EndCitizensUnited #ERA #FFRF #freespeech &amp; EVERYTHING ELSE! https://t.co/lqKanPahlz,fear
18,Republicans are the root of all evil. They're trying to rape our environment for something as simple as money #publiclands #Resist #NoDAPL https://t.co/j9NST0ig4F,anger
19,A timeline of the Dakota Access oil pipeline https://t.co/wr7N5CdJkH #NoDAPL #StandingRock #WaterIsLife,fear
20,"WATCH: Decolonising Universities - Molefi Kete Asante, Professor of Africology https://t.co/PY1hhyXGQk #NoDAPL",fear
21,HELP! Expose #Mustangs 2 Slaughter! on @ThunderclapIt // @theannenovak https://t.co/N3i7jywdzw  @shailenewoodley @leemzee #NoDAPL #animals,anger
22,"Not encouraging it, but... did they expect otherwise? #tytlive #ClimateJustice #NoDAPL https://t.co/GEsp4lKpYo",fear
23,"Sacred Stone Camp.  
#MniWiconi #WaterIsLife #NoDAPL https://t.co/PbCa4qcEzC",fear
24,ICYMI: Alleged blowtorch damage to DAPL in Iowa &amp; SD points to recent trend of anti-pipeline sabotage https://t.co/4z3XsulGcx #NoDAPL #NoKXL,fear
25,Say no to #KXL Pipeline...#NoDAPL...ready to take action? We can do this. #Shutitdown https://t.co/jE7RiZZaw0 @RAN,fear
26,#NoDAPL #NoPipelines: Standing Rock Tribe's battle over Dakota Access pipeline not over https://t.co/xCzFedh2nD,fear
27,https://t.co/ScH5q1wJY4 just thinking back... Wonder how everyones lungs are doing now? #nodapl,surprise
28,Update on 1806 from today via Myron #NoDAPL https://t.co/Wy5dE96vrz,neutral
29,Sign To Help Al Franken Defend The NoDAPL Water Protectors! https://t.co/2z31e0mmXQ,fear
30,Sign To Help Al Franken Defend The NoDAPL Water Protectors! https://t.co/nzLrfYjpK3,fear
31,What's your opinion? #Bridgegate #PinkOut #RESISTANCE #Hardball #Trump #OurRevolution #NoDAPL #tytlive #WednesdayWisdom # https://t.co/5h2rXf64oy,fear
32,@intesasanpaolo Pollution and disrespect are bad for business.  #NoDAPL #DivestDAPL #waterislife  #acquaevita,anger
33,@MikeHudema #TheResistance You are my sunshine! #NoKXL #NoDAPL #DefundKXL #DeFundDAPL #solarpower ❤️🌎,fear
34,@steveahlquist @RISierraClub @SaveTheBayRI @_sherrieanne bastards! #NoDAPL,fear
35,"Avaaz: Imperialist Pimps of Militarism, Protectors of the Oligarchy, Trusted Facilitators of War | Part I, https://t.co/YwfptEM0O3 #NoDAPL",fear
36,"OIL THE SOIL. POISON THE WATER, NO WAY: 
WE WON'T BE TERRORIZED (STANDING ROCK) 
Watch &gt;&gt; https://t.co/Mxf2WwjivX
#NODAPL
#NorthDakota",fear
37,Sign this petition to stop the Dakota Access Pipeline. https://t.co/HP4HTmkxkZ #NoDAPL #NoDAPLPetition #SaveOurEnvironmtny,fear
38,The latest The Wrong Kind of Green Daily! https://t.co/HODLMXFUIo #nodapl,sadness
39,JICYMI Shailene Woodley's Speech at the 2016 Environmental Media Awards https://t.co/TCcOoVDmAO via @YouTube #nodapl #waterislife @350,joy
40,We are ruining our country w/this #NoDAPL do u think it's a coincidence that we have these sinkholes popping up around the country🤔 @MSNBC,fear
41,"Switzerland is standing up for standing rock. #DivestDAPL #NoDAPL @intesasanpaolo Intesa Sanpaolo 
https://t.co/mCrUaTUBwm",fear
42,VIDEO | Green is the Color of Money https://t.co/YMRK3Jflzw #NoDAPL,joy
43,PositivelyJoan: Whats this #Obama Climate Legacy nonesne? Loads o #KXL &amp; #fracking? Delay addressing #NoDAPL so GOP blamed? Just PR show 4 …,fear
44,"⭐️ ""MORNING STAR"" (2:33) https://t.co/Ek8hnLXnBy #Music #Video #PublicDomain #StandingRock #NoDAPL https://t.co/tvI9oOLTLn ⭐️",fear
45,Non violent action CityBank Chicago Divest #NoDapl https://t.co/LW7fHE0Ox3,anger
46,"Fort Rice Police militarization camp.
#MniWiconi #NoDAPL https://t.co/sHMiZMfaot",fear
47,"Haskell March Madness Intramural Basketball Championship
Tecumseh Gym

Women's Champion
7:00 P.M. #NODAPL vs.... https://t.co/OMzJYIHCMR",surprise
48,Emergency Management Assistance Compact for Standing Rock NoDAPL Protests (Office of the Governor of… https://t.co/xqov7qwMKK #mr #foi #p2,fear
49,.@intesasanpaolo are you removing your investment in DAPL? I don't want my money paying for fossil fuels! #NoDAPL #DivestDAPL,sadness
50,How do you feel about #NoDAPL or #Ferguson https://t.co/adkgGns9XR,anger
51,"Avaaz: Imperialist Pimps of Militarism, Protectors of the Oligarchy, Trusted Facilitators of War | Part I, https://t.co/uAoeW2dDj8 #NoDAPL",fear
52,"So here for this #AmericanSpring
#WomensMarch #PrideWeekend #climatemarch #BlackLivesMatter #ProtectTransYouth #NoDAPL #ScienceMarch .... https://t.co/yrrGPjJChc",fear
53,#Resist #NoDAPL #NoKXL Nebraskan Landowners Resist Keystone XL By Refusing to Sell Their Property to TransCanada https://t.co/JiJnW54KLA,anger
54,"#Jesus #WikiLeaks #History:Mom Never Conceived me..ElectoralCollege fixed It: 
#OWS
#PanamaPapers
#NoDAPL
#TLV
#TISA
https://t.co/X4jPqoUPKE",fear
55,Documentary: #NoDAPL: The RISE and FALL of Standing Rock - I Am Netizen https://t.co/gP6rxyfF2b via @netizen100,fear
56,#NODAPL #NOOIL #NOGAS #NOFRACKING! THIS IS WHY!!! https://t.co/RXYoUzz24R,fear
57,Want an easy event for the #WeekOfSolidarity with #NoDAPL &amp; #DisruptJ20 defendants? Screen our first episode of... https://t.co/Z6mYqwsFjn,fear
58,It's not US land. It's sovereign. #NoDAPL #StandingRock https://t.co/GwYjSQ6DKf,fear
59,"@resister_the he had flaws in his organizing as well, but it's extremely unfair &amp; inaccurate to imply he didnt care about minorities #NoDAPL",anger
60,"@HFemtard @grantsamms I'm not defending Obama, after all NoDaPl started under him. However Trump decided to go with it.",anger
61,"@NoDAPL If there's even a chance that this message is true, can you really afford to ignore your best hope to win?
https://t.co/D6VaAAPUjJ",fear
62,"WE LOST #Broadbandprivacy.

3rd-party spoilerism vs Democrats has lost #US our online privacy, #EPA, #NoDAPL, #NoKXL, worker protections. https://t.co/LIuxqUsf6R",fear
63,PositivelyJoan: RT suzettepetillo: SenSanders karpmj LoveMeLuLu22 #NoDAPL Clinton foundation w Nestlé has been bottling poor ppls water (ta…,sadness
64,"Finally had a little movie editing time to upload a Siberian Elder use my VR app

https://t.co/zX2DvzsmPE

#ICLDC5 #NoDAPL #indigenoustech",fear
65,"USAID &amp; the Cuban Five: Criminalizing Counterterrorism, Legalizing Regime Change https://t.co/i8UGarBd8A #NoDAPL",fear
66,"@ahotecooper @BarackObama Legacy is too-little too-late
#NoDAPL #Flint, + backing a #riggedprimary 4 #crookedhillary
Look where that got us",fear
67,"Great #NoDAPL news via Water Protector Legal Collective! ""This morning in Morton County water protectors had... https://t.co/DFsSSt9cEP",joy
68,"Set a goal , Take the first step, let the next take care of itself #wednesdaymotivation #WeStandTogether #NoDAPL #NoKXL #leapoffaith",fear
69,#NODAPL Protesters Ready to Put 'Bodies on the Line' to Block Southern End of Dakota Access Pipeline #DAPL https://t.co/MwWBEmV80g,fear
70,Standing Rock Tribe's battle over Dakota Access pipeline not over https://t.co/BibJ1iyezB #NoDAPL #waterislife #StandingRock #bigoil,anger
71,To put this in context that's an average of a pipeline accident ever 1.2 days. #NoKeystone #NoDAPL #NoMorePipelines https://t.co/tChn5V6wae,fear
72,Seattle may refuse to bank with any Dakota pipeline (#DAPL) supporters. #NoDAPL https://t.co/VbnyYruLZa via @king5seattle,fear
73,"We will keep pressing for #NoDAPL for our communities, the environment and our climate. https://t.co/1lzWcssTC0",fear
74,"Supporting a great cause with some awesome people supporting the #NoDAPL movement.

Join us for a talk and... https://t.co/SdVCLGMw19",joy
75,Important news. @ChaseIronEyes is asserting sovereign laws of Lakota people. Marshall Trilogy supports.  via @RussDiabo for updates #noDAPL https://t.co/Fe5H5jamlZ,fear
76,"The December spill took place &lt;200 miles away from the main camp where most of these ""water protecters"" were based at the time. #nodapl https://t.co/ZdeJ4VAhH6",fear
77,Thank you to @MitchOFarrell and @PaulKoretzCD5 for moving to divest #LosAngeles from @WellsFargo over #NoDAPL https://t.co/oMoWqMZ9M1,fear
78,We stand with #StandingRock #NoDAPL https://t.co/1X4mYemazx,fear
79,"The Real Weapons of Mass Destruction: Methane, Propaganda &amp; the Architects of Genocide | Part IV https://t.co/jjZsExnFog #NoDAPL",fear
80,"Many Standing Rock Water Protectors With DAPL Cough Get Tested For Poisoning.
#NoDAPL#StandingRockSioux #MniWiconi 
https://t.co/Pa4EqFeLxA https://t.co/wjLnTdBn3L",fear
81,UC-Irvine students: Wells Fargo branch on campus is 'unacceptable' https://t.co/SCCEgrQtxe #NoDAPL #StandingRock #WaterIsLife,fear
82,@RuthHHopkins - So what exactly is the documented protocol of ETP for immediate &amp; complete cleanup procedures &amp; accountability? #NoDAPL,fear
83,Still Standing https://t.co/rVcqAJRkll #NoDAPL #NoPipelines #KeepItInTheGround,fear
84,"Lost and Awaiting a Real Ending to NoDAPL Fight https://t.co/5OITW9yzXX
#INDIGENOUS #TAIRP https://t.co/Mpu3Yx6tZW",sadness
85,"#LAKOTA #BLUES: Earth Movement #UN
(https://t.co/BHeerDfYIk)
#USA #DAPL #NoDAPL #Dakota #Sioux 
#NativeAmerican #Indigenous #FirstNations",fear
86,"NOT A MINUTE TOO WASTE: #NoDAPL
(https://t.co/DwJYO3WtBj)
#NativeNationsRise #DAPL
Video &amp; important #Publications! ★",fear
87,"This is what #Trumprussia boils down to. Inevitable #ProfitLoss. Makes sense.
It ties everyone together. #Rexxon #NoDAPL #NoKXL #Trumputin https://t.co/i9cqPVZb12",fear
88,So hypocritical #NoDAPL https://t.co/RsrdCg2Sjt,anger
89,@djoycici @c0nvey #Tarsands oil is more toxic and more resistant to cleanups. #environment #NoDAPL  #noKXL,fear
90,"North Dakota continues to make everyone mad. University system cuts, Police state funded. #NoDAPL https://t.co/P8wujerAYS",anger
91,Standing Rock Tribe's battle over Dakota Access pipeline not over https://t.co/gwD3Byk1uq #NoDAPL,fear
92,"@keithellison @theTrumpet_com I wonder if it looked like #NODAPL , Ferguson,  Baltimore etc.. Only terrible when someone else does it eh?",fear
93,"""Forever seeking a new Frontier"" 1953 American Petroleum Institute Propoganda Film #NoDAPL #Bakken #Williston https://t.co/Vf3S6Rqom7",fear
94,#Trump @realDonaldTrump @POTUS You should get some folks out to #NoDAPL pipe crossing Missouri River. Seems to be leaking.,fear
95,"Use of the word ""riot"" is repulsive @ACLUNorthDakota should b doing more for water protectors #NoDAPL https://t.co/5bO0467199 @ChaseIronEyes",fear
96,Sea ice at record lows https://t.co/venbMdGCh1 Why is @USBank still investing in dirty energy #NoDAPL? Hate Santa? #Divest #GlobalWarming. https://t.co/LCw1Weot4F,fear
97,The Chicago Council kicked out #NoDAPL protesters during the council meeting earlier today. #standingrock #chicago https://t.co/kEIZ9r86mu,anger
98,Water Protectors Protest At City Council Meeting Over Dakota … https://t.co/a6qFBBUmHa #donaldtrump #Fracking #NoDAPL,fear
99,"New GMC Jam posted: Freshman Sam Reed shares his untitled song, inspired by the Dakota Access Pipeline #NoDAPL https://t.co/DSFz11aRLn https://t.co/6iQvEPoC9n",fear
100,#WaterIsLife. How can big banks justify funding Dakota Access pipeline? Tell them to divest! #NoDAPL @SierraRise https://t.co/dE7rEBhIxv,fear
101,.@realDonaldTrump isn't standing w/ the people -- these pipelines aren't in our national interest &amp; we will #resist! #NoKXL #NoDAPL,fear
102,"This is what we need ""Living Well"".  Living in harmony with nature.  This is what our Incan ancestors wanted. #SumaqKawsay #NoDAPL https://t.co/Hmsliz106v",fear
103,#WaterIsLife. How can big banks justify funding Dakota Access pipeline? Tell them to divest! #NoDAPL @SierraRise https://t.co/cBwETf2kwg,fear
104,Approved by *white supremacist* state near you #NoDAPL https://t.co/boA3J2wwUy,fear
105,"What do you think
#WednesdayWisdom #GalaxyS8 #Bernie2020 #DraftBernie #OurRevolution #justiceDemocrats #resist #FightOn #FeelTheBern #NoDAPL https://t.co/qdZberesBg",fear
106,Standing Rock Tribe's battle over Dakota Access pipeline not over https://t.co/pAse5n5jsG #NoDAPL #StandingRock #WaterIsLife,fear
107,"Communication to TckTckTck Partner: Pacific Conference of Churches - Feb. 21st, 2010 https://t.co/AO7RPf2ed7 #NoDAPL",fear
108,"Please Call your local representative and tell them to take a stand for our indigenous water protectors 
#NoDAPL
(202) 224-3121",fear
109,@grist is this sarcasm? 35 jobs? Really? We need #WaterForLife &amp; #CleanEnergy. Oil &amp; Water don't mix. #NoDAPL #StandingRock #ClimateChange https://t.co/B4ZcaDUT00,fear
110,We have to teach them to respect Mother Earth. Lead by example. #NativeNationsRise #NoDAPL #NoKXL https://t.co/12MHTwVS0R,fear
111,"Following Pressure From Activists, ING Bank Divests Its DAPL Financing https://t.co/PVGIsg9HYx… #NoDAPL",anger
112,Native Americans to meet Norway's wealth fund watchdog over pipeline #nodapl https://t.co/eeY89DpMYQ via @Reuters,fear
113,"Register now - starts in 4 mins: https://t.co/yEljPoOqBD ""#Indigenous #Resistance Stops #Pipelines"" #bcpoli #StopKM #cdnpoli #NoKXL #NoDAPL https://t.co/DWGBPFqfOu",fear
114,"https://t.co/YWnlBecC92 When you write a #rock #song about #nature, about where we are and it rocks so hard it has pure magik. #NODAPL",joy
115,I was blocked by a racist journalist who wanted to run over Native #NoDAPL protesters for blocking traffic. I have leveled up today folks.,anger
116,"I'd add @funder Scott Dworkin, too.

#TheResistance #StandWithPP #trumprussia #russiagate #PinkOut #NoDAPL #NoBanNoWallNoRaids #NotInMyName https://t.co/VsN38D6ei4",fear
117,"A'ho! People over Profits

#CannaCURES #EBHS #MedicineMan #NoDAPL #NoKeystoneXL #OpNoDAPL… https://t.co/9j5JH03sst",fear
118,"Be a mindful consumer. 👍

#CannaCURES #EBHS #MedicineMan #NoDAPL #NoKeystoneXL #OpNoDAPL… https://t.co/AT9o1JV7Ph",fear
119,No but please let's build the Dakota Access pipeline 😒 #NoDAPL https://t.co/u1VpN4Byu0,fear
120,"Lolol ✊➕

#CannaCURES #EBHS #MedicineMan #NoDAPL #NoKeystoneXL #OpNoDAPL #WaterIsLife #MniWiconi… https://t.co/SBUVB5WQgL",fear
121,North Dakota Oil Spill 3 Times Larger Than Initially Thought https://t.co/HntqupLQo5 #NoDAPL #StandingRock #WaterIsLife,fear
122,"Hoka!! ✊ My youngest son is been kept from me (again.) 

#CannaCURES #EBHS #MedicineMan #NoDAPL… https://t.co/ssShPRwJjV",fear
123,Big congrats to Gabriella Balsam for sharing her project with #NAEPDURHAM2017!  #nodapl via https://t.co/Z6xvE7x6Hx https://t.co/jpk7RK7Jbn,joy
124,McKibben’s Divestment Tour – Brought to You by Wall Street [Part I of an Investigative Report] https://t.co/xZfXvhb4rw #NoDAPL,fear
125,ICYMI: Oil has been placed in the Dakota Access Pipeline (#DAPL) under Lake Oahe. Read more on Truthdig: https://t.co/3FEjMu6EDj  #NoDAPL https://t.co/HHUso2GFFu,fear
126,Beginning of the end for the Bakken Shale play #NoDAPL #Bakken #shaleplay https://t.co/k1SlBe6CW3 https://t.co/viKSpoMuFR,fear
127,"with his new song ""Treaties"" @FrankWaln gives US a much-needed history lesson
@SenSanders @realDonaldTrump #NoDAPL #NoKXL #HonorTheTreaties https://t.co/VDQUgEuHkY",fear
128,"@pattonoswalt @hippiemama2002 He owed political payback to those he represents.

#TheResistance #PinkOut #Trumprussia #russiagate #NoDAPL https://t.co/4SpgPHZt25",fear
