"STATION","NAME","DATE","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMSD","EMSN","EMXP","PRCP","SNOW"
"USC00172765","FARMINGTON, ME US","1893-01",,,,"4","21","31","27","0","0",,"12.8",,,"19.3"
"USC00172765","FARMINGTON, ME US","1893-02","7","4",,,"14","28","17","0","0",,,"1.40","3.83",
"USC00172765","FARMINGTON, ME US","1893-03","4","2",,"1","5","30","5","0","0",,"12.0","1.65","2.69","12.5"
"USC00172765","FARMINGTON, ME US","1893-04","6","4",,,"0","28","2","0","0",,,"1.13","2.34",
"USC00172765","FARMINGTON, ME US","1893-05","9","6",,"0","0","5","0","15","1",,"0.0","2.32","6.95","0.0"
"USC00172765","FARMINGTON, ME US","1893-06","8","7",,,"0","0","0","22","6",,,"1.22","2.78",
"USC00172765","FARMINGTON, ME US","1893-07","9","4",,,"0","0","0","31","9",,,"0.63","1.60",
"USC00172765","FARMINGTON, ME US","1893-08","10","7",,,"0","0","0","27","8",,,"1.15","3.76",
"USC00172765","FARMINGTON, ME US","1893-09","10","7",,,"0","3","0","15","0",,,"1.17","3.02",
"USC00172765","FARMINGTON, ME US","1893-10","6","6",,,"0","9","0","8","0",,,"2.05","5.72",
"USC00172765","FARMINGTON, ME US","1893-11","6","3",,"2","0","28","3","0","0",,"3.0","1.42","3.00","4.0"
"USC00172765","FARMINGTON, ME US","1893-12",,,,,"10","30","15","0","0",,,,,
"USC00172765","FARMINGTON, ME US","1894-01","4","4",,,"12","31","20","0","0",,,"0.59","1.65",
"USC00172765","FARMINGTON, ME US","1894-02",,,,,"12","28","15","0","0",,,,,
"USC00172765","FARMINGTON, ME US","1894-03","5","3",,"3","0","28","1","1","0",,"6.0","1.25","2.20","11.8"
"USC00172765","FARMINGTON, ME US","1894-04",,,,"1","0","19","0","5","0",,"5.5",,,"6.9"
"USC00172765","FARMINGTON, ME US","1894-05","8","7",,,"0","4","0","18","2",,,"1.35","5.14",
"USC00172765","FARMINGTON, ME US","1894-06",,,,,"0","0","0","24","12",,,,,
"USC00172765","FARMINGTON, ME US","1894-07",,,,,"0","0","0","31","12",,,,,
"USC00172765","FARMINGTON, ME US","1894-08",,,,,"0","0","0","27","0",,,,,
"USC00172765","FARMINGTON, ME US","1894-09","7","6",,,"0","4","0","18","0",,,"1.74","5.73",
