Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
State_id  ,YEAR  ,Month  ,PRECIP (in) 
'170100',1895,1,4.67 
'170100',1895,2,1.42 
'170100',1895,3,2.96 
'170100',1895,4,5.61 
'170100',1895,5,2.23 
'170100',1895,6,1.97 
'170100',1895,7,2.82 
'170100',1895,8,3.22 
'170100',1895,9,1.57 
'170100',1895,10,2.49 
'170100',1895,11,8.99 
'170100',1895,12,7.01 
'170100',1896,1,1.29 
'170100',1896,2,7.55 
'170100',1896,3,10.04 
'170100',1896,4,2.17 
'170100',1896,5,2.51 
'170100',1896,6,2.7 
'170100',1896,7,3.45 
'170100',1896,8,3.27 
'170100',1896,9,6.35 
'170100',1896,10,4.64 
'170100',1896,11,6.03 
'170100',1896,12,2.2 
'170100',1897,1,6.39 
'170100',1897,2,3.35 
'170100',1897,3,5.65 
'170100',1897,4,3.81 
'170100',1897,5,6.33 
'170100',1897,6,4.1 
'170100',1897,7,4.59 
'170100',1897,8,3.59 
'170100',1897,9,2.92 
'170100',1897,10,1.3 
'170100',1897,11,8.36 
'170100',1897,12,6.08 
'170100',1898,1,8.93 
'170100',1898,2,10.87 
'170100',1898,3,1.98 
'170100',1898,4,4.49 
'170100',1898,5,1.88 
'170100',1898,6,3.92 
'170100',1898,7,2.42 
'170100',1898,8,2.85 
'170100',1898,9,2.95 
'170100',1898,10,7.23 
'170100',1898,11,8.06 
'170100',1898,12,3.39 
'170100',1899,1,4.59 
'170100',1899,2,4.38 
'170100',1899,3,7.27 
'170100',1899,4,1.29 
'170100',1899,5,3.35 
'170100',1899,6,3.11 
'170100',1899,7,4.95 
'170100',1899,8,0.97 
'170100',1899,9,3.31 
'170100',1899,10,2.74 
'170100',1899,11,4.03 
'170100',1899,12,3.99 
'170100',1900,1,9.8 
'170100',1900,2,14 
'170100',1900,3,8.74 
'170100',1900,4,2.66 
'170100',1900,5,6.7 
'170100',1900,6,3.07 
'170100',1900,7,2.61 
'170100',1900,8,2.4 
'170100',1900,9,2.95 
'170100',1900,10,6.3 
'170100',1900,11,8.24 
'170100',1900,12,3.12 
'170100',1901,1,5.71 
'170100',1901,2,2.3 
'170100',1901,3,6.61 
'170100',1901,4,8.04 
'170100',1901,5,3.79 
'170100',1901,6,2.73 
'170100',1901,7,3.34 
'170100',1901,8,4.04 
'170100',1901,9,2.79 
'170100',1901,10,4.94 
'170100',1901,11,3.36 
'170100',1901,12,12.22 
'170100',1902,1,4.96 
'170100',1902,2,3.56 
'170100',1902,3,11.71 
'170100',1902,4,4.22 
'170100',1902,5,3.91 
'170100',1902,6,5 
'170100',1902,7,1.8 
'170100',1902,8,3.76 
'170100',1902,9,3.12 
'170100',1902,10,6.61 
'170100',1902,11,2.14 
'170100',1902,12,7.81 
'170100',1903,1,5.82 
'170100',1903,2,5.51 
'170100',1903,3,7.54 
'170100',1903,4,2.79 
'170100',1903,5,1.26 
'170100',1903,6,3.73 
'170100',1903,7,4.7 
'170100',1903,8,2.39 
'170100',1903,9,1.43 
'170100',1903,10,4.65 
'170100',1903,11,3.29 
'170100',1903,12,5.72 
'170100',1904,1,4.84 
'170100',1904,2,3.06 
'170100',1904,3,4.91 
'170100',1904,4,8.11 
'170100',1904,5,5.38 
'170100',1904,6,2.03 
'170100',1904,7,3.34 
'170100',1904,8,4.14 
'170100',1904,9,5.31 
'170100',1904,10,3.32 
'170100',1904,11,2.85 
'170100',1904,12,3.13 
'170100',1905,1,6.05 
'170100',1905,2,2.63 
'170100',1905,3,1.59 
'170100',1905,4,2.53 
'170100',1905,5,3.28 
'170100',1905,6,3.96 
'170100',1905,7,4.09 
'170100',1905,8,2.1 
'170100',1905,9,4.72 
'170100',1905,10,1.35 
'170100',1905,11,5.96 
'170100',1905,12,5.11 
'170100',1906,1,4.73 
'170100',1906,2,3.65 
'170100',1906,3,6.66 
'170100',1906,4,3.94 
'170100',1906,5,5.59 
'170100',1906,6,4.34 
'170100',1906,7,4.69 
'170100',1906,8,1.42 
'170100',1906,9,0.99 
'170100',1906,10,7.14 
'170100',1906,11,5.17 
'170100',1906,12,6.56 
'170100',1907,1,4.38 
'170100',1907,2,4.05 
'170100',1907,3,3.7 
'170100',1907,4,6.02 
'170100',1907,5,2.84 
'170100',1907,6,3.75 
'170100',1907,7,3.63 
'170100',1907,8,1.76 
'170100',1907,9,6.45 
'170100',1907,10,6.28 
'170100',1907,11,6.94 
'170100',1907,12,6.35 
'170100',1908,1,4.57 
'170100',1908,2,6.93 
'170100',1908,3,3.66 
'170100',1908,4,3.18 
'170100',1908,5,5.62 
'170100',1908,6,1.36 
'170100',1908,7,3.35 
'170100',1908,8,3.4 
'170100',1908,9,1.2 
'170100',1908,10,5.95 
'170100',1908,11,2.32 
'170100',1908,12,5.39 
'170100',1909,1,9.59 
'170100',1909,2,8.81 
'170100',1909,3,5.45 
'170100',1909,4,5.08 
'170100',1909,5,2.94 
'170100',1909,6,2.24 
'170100',1909,7,2.5 
'170100',1909,8,1.68 
'170100',1909,9,7.51 
'170100',1909,10,2.58 
'170100',1909,11,5.71 
'170100',1909,12,3.67 
'170100',1910,1,5.42 
'170100',1910,2,5.6 
'170100',1910,3,2.47 
'170100',1910,4,5.48 
'170100',1910,5,2.47 
'170100',1910,6,3.02 
