#Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville, NC
#data for Eastport, ME
# http://cdiac.ornl.gov/epubs/ndp/ushcn/ushcn_map_interface.html
State_id  ,YEAR  ,Month  ,PRECIP
'172426',1895,1,2.7 
'172426',1895,2,1.93 
'172426',1895,3,2.9 
'172426',1895,4,2.29 
'172426',1895,5,1.29 
'172426',1895,6,1.46 
'172426',1895,7,3.17 
'172426',1895,8,4.83 
'172426',1895,9,2 
'172426',1895,10,1.15 
'172426',1895,11,6.41 
'172426',1895,12,2.75 
'172426',1896,1,0.84 
'172426',1896,2,2.77 
'172426',1896,3,2.72 
'172426',1896,4,0.86 
'172426',1896,5,1 
'172426',1896,6,2.71 
'172426',1896,7,4.24 
'172426',1896,8,1.07 
'172426',1896,9,3.67 
'172426',1896,10,6.27 
'172426',1896,11,3.69 
'172426',1896,12,1.7 
'172426',1897,1,3.13 
'172426',1897,2,1.45 
'172426',1897,3,4.01 
'172426',1897,4,3.35 
'172426',1897,5,7.86 
'172426',1897,6,3.32 
'172426',1897,7,2.47 
'172426',1897,8,2.79 
'172426',1897,9,1.82 
'172426',1897,10,0.68 
'172426',1897,11,5.79 
'172426',1897,12,2.59 
'172426',1898,1,5.41 
'172426',1898,2,6.97 
'172426',1898,3,2.65 
'172426',1898,4,3.8 
'172426',1898,5,2.14 
'172426',1898,6,3.09 
'172426',1898,7,0.66 
'172426',1898,8,2.15 
'172426',1898,9,2.93 
'172426',1898,10,6.85 
'172426',1898,11,6.62 
'172426',1898,12,2.99 
'172426',1899,1,3.86 
'172426',1899,2,3.35 
'172426',1899,3,5.45 
'172426',1899,4,0.89 
'172426',1899,5,3.92 
'172426',1899,6,2.56 
'172426',1899,7,4.78 
'172426',1899,8,0.53 
'172426',1899,9,1.9 
'172426',1899,10,1.92 
'172426',1899,11,3.68 
'172426',1899,12,3.42 
'172426',1900,1,5.27 
'172426',1900,2,4.31 
'172426',1900,3,4.97 
'172426',1900,4,2.47 
'172426',1900,5,5.18 
'172426',1900,6,4 
